"adm_0_name","adm_1_name","adm_2_name","full_name","ISO_A0","FAO_GAUL_code","RNE_iso_code","IBGE_code","calendar_start_date","calendar_end_date","Year","dengue_total","case_definition_standardised","S_res","T_res","UUID"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-07-04","2021-07-10",2021,67,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-07-11","2021-07-17",2021,51,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-07-18","2021-07-24",2021,30,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-07-25","2021-07-31",2021,36,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-08-01","2021-08-07",2021,47,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-08-08","2021-08-14",2021,46,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-08-15","2021-08-21",2021,51,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-08-22","2021-08-28",2021,52,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-08-29","2021-09-04",2021,54,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
"AFGHANISTAN",NA,NA,"AFGHANISTAN","AFG",1011446,"AFG",NA,"2021-09-05","2021-09-11",2021,54,"Suspected","Admin0","Week","WHOEMRO-ALL-2021-Y01-05"
